Id	First Line	Description	Title(s)	Author(s)	Subject(s)	Versification	Note
DIMEV 3693	Next the dark night the gray morrow	Proverbs by Impingham — thirteen couplets		Impingham	proverbs; Fortune; women, against	— two-line — aa	
DIMEV 3694	Nis no clune [?] alive that maketh woman	Aphorism about lovers being most likely source of woman’s tears — one couplet			aphorisms; love, vicissitudes of	— two-line — aa	
DIMEV 3695	No evil will do and do no miss	Flee evil — one couplet			advice	— two-line — aa	
DIMEV 3696	No god ne have thou buten one	English verse translation of the Ten Commandments — six couplets			Ten Commandments; didactic verse	— two-line — aa	
DIMEV 3697	No kind of labor is a thing of shame	Not work, but idelness is blameworthy — one couplet			aphorisms	— two-line — aa	
DIMEV 3698	No man this book he take away	Epilogue to Audelay’s book of poems — sixteen lines including three Latin lines		John Audelay	colophons; bookplates	— thirteen-line — ababbcbcdeeed	
DIMEV 3699	No more ne will I wicked be	A Resolve to Reform — three 6-line stanzas			prayers; repentance; friars	— six-line — aaabab	
DIMEV 3700	No more of this for Gods dignity	Geoffrey Chaucer, the ‘Thopas-Melibee Link’ in the Canterbury Tales — 48 lines in rhyming couplets.	 ‘Thopas-Melibee Link’; ‘Words of the Host to Chaucer’; Canterbury Tales	Geoffrey Chaucer	pilgrims/pilgrimage; links; tale-telling; sentence	— couplets — aa	
DIMEV 3701	No wonder thou I mourning make	Sore I sigh — seven quatrains with refrain, ‘alone I lyue alone’ and 2-line burden: ‘Alone I lyue alone / And sore I sighe for one’			lover‘s lament	— four-line — aaab	See burden alone 452; see also 636 and 451
DIMEV 3702	Nobles report your matins in this book	Advice to nobles at end of the prose ‘Porteus of Noblenes’ — five lines	 ‘Porteus of Noblenes’		colophons; advice, to princes	— five-line — ababb	
DIMEV 3703	None sigheth so sore	A proverbial couplet			proverbs	— two-line — aa	
DIMEV 3704	Nor that I dread displeasen you only	Charles d’Orléans, a roundel, translated from the French of Charles d’Orléans (Champollion-Figeac (1842) XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 43) — 19 lines		Charles d’Orléans	roundels; love lyrics; lovers, addresses to beloved	— roundel	
DIMEV 3705	Not dreamed I in the mount of Parnassus	Burgh’s poem in praise of Lydgate — eight stanzas rhyme royal		Benedict Burgh	Lydgate, John	— seven-line — ababbcc	
DIMEV 3706	Not far from March in the end of Fevriere	A Compleynt against unjust treatment — five stanzas rhyme royal		William de la Pole (attrib.)	complaints; Fortune, complaints against	— seven-line — ababbcc	
DIMEV 3707	Not full asleep nor full awaking	‘The Visione’ — 46 8-line stanzas			visions	— eight-line — ababbcbc	
DIMEV 3708	Not long ago a marvelous thing	Gilbert Bannister, Miraculum sancti Thome martyris — five stanzas rhyme royal with refrain, ‘Nouis fulget Thomas miraculis’	 Miraculum sancti Thome martyris	Gilbert Bannister	saints’ lives; miracles; Thomas of Canterbury, saint	— seven-line — ababbcc	
DIMEV 3709	Not long ago purposed I and thought	A lover’s complaint — five stanzas rhyme royal			complaints, lovers’; lovers, addresses to beloved	— seven-line — ababbcc	
DIMEV 3710	Not mans steven but good will	Four lines translating ‘Non vox set votum. Non musica cordula set cor’, etc., a tag in the Fasciculus Morum, which precedes it			aphorisms; sermons, verse in; translations	— two-line — aa	Walther (1963) XWalther, Hans. Proverbia sententiaque latinitatis medii aevi. 6 vols. Göttingen, 1963-69, no. 18723; Walther (1969) XWalther, Hans. Initia carmina ac versuum medii aevi posterioris latinorum. Göttingen, 1959; 2nd ed. 1969, no. 12222.
DIMEV 3711	Not oft I praise but blame as in substaunce	Charles d’Orléans, a roundel, translated from the French of Charles d’Orléans (Champollion-Figeac (1842) XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 166) — 14 lines		Charles d’Orléans	roundels; love lyrics	— roundel	
DIMEV 3712	Not wot I now what wise to bear my cheer	Charles d’Orléans, a Balade to his Lady, translated from the French of Charles d’Orléans (Champollion-Figeac (1842) XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 95) — three 11-line stanzas and 6-line Envoy		Charles d’Orléans	love lyrics; lovers, addresses to beloved; envoys	— eleven-line, six-line	
DIMEV 3713	Nothing should grieve me half so sore	Letter of a lover to his absent lady — five 8-line stanzas (ababbcbc) plus one 7-line of shorter lines, ababcbc			complaints, lovers’; lover’s complaints; lovers, addresses to beloved; love, constancy in; lovers, absence/separation of	— eight-line, seven-line — ababbcbc, ababcbc	Stanzas 1-5 formerly part of 928.5; last stanza formerly 3623.
DIMEV 3714	Nought to like thou me to lack	Percival, Premonstratensian Canon at Coverham Abbey, Yorkshire, a colophon at the end of a nineteen-foot prayer roll — ten couplets		Percival, Premonstratensian Canon at Coverham Abbey, Yorkshire	colophons	— two-line — aa	
DIMEV 3715	Now all men may seen by me	On worm’s meat — six couplets			death; vanity, against worldly; women, as speakers/narrators; sermons, verse in	— two-line — aa	
DIMEV 3716	Now are the feasts made of Christ	Gospel for Trinity Sunday in the Northern Homily Cycle (including the story of the Baptism of Jesus — see 5179 — which also occurs separately); eight 8-line stanzas, ababbcbc, with …‘I take my leue’ refrain	 Northern Homily Cycle		sermon texts, Gospel; Trinity Sunday	— two-line — aa	For texts in the ‘expanded’ Cycle see 116 and 4629.
DIMEV 3717	Now Bairns Birds bold and blithe	Against my will I take my Leave — eight 8-line stanzas with ‘…take my leue’ refrain			death, approach of; friendship	— eight-line — ababbcbc	
DIMEV 3718	Now Barbara the spouse of Christ	Colophon to Middle English prose life of St. Barbara — four monorhyming lines			colophons; Barbara, saint, life of	— four-line — aaaa	
DIMEV 3719	Now begins to go the banner of our Lord the King	Four lines translating the first stanza of the hymn, Vexilla regis prodeunt	 Vexilla regis prodeunt		translations; hymns, to Christ; Christ, hymns to	— four-line, monorhyme — aaaa	For other translations, see 4518, 5359, 5360, and 4318.
DIMEV 3720	Now blessed Lord as I have trust in Thee	‘In te domine speraui non confundar’ — four lines	 ‘In te domine speraui non confundar’		prayers		
DIMEV 3721	Now bloweth the fruit that late began to spring	‘Banna Sanctorum’, in the South English Legendary	 South English Legendary ; ‘Banna Sanctorum’		saints	— two-line — aa	
DIMEV 3722	Now brother Walter brother mine after the fleshless kind	Orm, Ormulum — 20,000 lines of metrical sermons	 Ormulum	Orm	utilitarian verse; verse sermons		
DIMEV 3723	Now Christ Jesu soothfast priest and king	A prayer to Jesus — five stanzas rhyme royal			prayers, to Christ; Christ, prayer to	— seven-line — ababbcc	
DIMEV 3724	Now cooled is Dame Venus brand	William Dunbar, ‘Of luve erdly and divine’ — fifteen quatrains, plus 2-line burden (bb), ‘Now cumis aige quhair ȝewth hes bene / And trew luve rysis fro the Splene’	 ‘Of luve erdly and divine’	William Dunbar	love, divine and human	— four-line — aaab	
DIMEV 3725	Now death is at mine head	The sinner’s lament, a dialogue between Death and the Dying Man — eight quatrains			laments; dialogues, death and man; death; sinner, lament of	— four-line	
DIMEV 3726	Now do I know you changed thought	A rebuke to his ‘newfangled’ mistress — six quatrains			lovers, addresses to beloved	— four-line	
DIMEV 3727	Now dread I danger nor yet none of his	Charles d’Orléans, The ‘God of loue woll helpe me in my nede’, translated from the French of Charles d’Orléans (Champollion-Figeac (1842) XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 78) — three 8-line stanzas and 4-line Envoy	 ‘God of loue woll helpe me in my nede’	Charles d’Orléans	love lyrics; envoys	— eight-line, four-line	
DIMEV 3728	Now every man in his beginning	‘The working of the phylozophers stone’ — 169 lines			alchemy; philosopher’s stone	— two-line — aa	
DIMEV 3729	Now fair fairest of every fair	William Dunbar, To the Princess Margaret on her arrival at Holyrood, A.D. 1503 — seventeen lines		William Dunbar	occasional verse; political verse; Margaret, queen of Scotland		
DIMEV 3730	Now fairest of stature formed by nature	The lover’s appeal to his mistress for mercy — four stanzas rhyme royal			lovers, addresses to belove	— seven-line — ababbcc	
DIMEV 3731	Now fell me when this Jubilee thus was made	Charles d’Orléans, a love sequence, consisting of chanson d’aventure adventures of the poet in the realm of Love — 94 stanzas rhyme royal with inserted ‘bill of complaynt’ of seven 8-line stanzas		Charles d’Orléans	love lyrics; chansons d’aventure	— seven-line, eight-line — ababbcc	
DIMEV 3732	Now for to sing I hold it best	James Ryman, a Christmas carol — six quatrains (abab) and burden: ‘Nowe lete us syng and mery be / ffor crist oure kyng haþe made us fre’		James Ryman	carols, Nativity	— four-line — abab	
DIMEV 3733	Now fresh flower to me that is so bright	A poem addressed to his heartless mistress — thirteen quatrains (abab)			lovers, addresses to beloved; complaints, lovers’	— four-line — abab	
DIMEV 3734	Now ginneth the devil to wrathen him sore	Henry Lovelich, Merlin — 27,852 lines in couplets	 Merlin	Henry Lovelich	Arthurian literature; romances	— two-line — aa	
DIMEV 3735	Now gladdeth every lifes creature	William Dunbar (attrib.), ‘Of the Nativitie of Christ’ — five 8-line stanzas including refrain, ‘borne of þe most chest virgin mary bricht’	 ‘Of the Nativitie of Christ’		Christ, birth of	— eight-line — ababbcbc	
DIMEV 3736	Now gladly shall the clergy sing	James Ryman, a macaronic song in praise of St. Francis — twelve 3-line stanzas, aab, including refrain (a short line in Latin), plus burden (b): ‘Letabundus ffrancisco decantet clerus alleluia’		James Ryman	Francis of Assisi, saint, in praise of	— three-line stanzas — aab	
DIMEV 3737	Now go we on to our wits five	The V Bodily Wits, concluding with a form of confession — forty couplets			wits, five bodily	— two-line — aa	
DIMEV 3738	Now God almighty down hath sent	A Christmas carol — three monorhyming quatrains plus 7-line burden (aabbccb, of which apparently only last five lines repeated after the quatrains): ‘Now make we merthe al & sum / ffor cristemesse now is i-com / þat hath no pere / Syng we alle in fere / Now ioye & blysse / þei xul not mysse / þat makyth good chere’			carols, Nativity	— four-line — aaaa	
DIMEV 3739	Now God almighty have mercy on me	A prayer to God for mercy — one stanza rhyme royal			prayers	— seven-line — ababbcc	
DIMEV 3740	Now god that sittest on high in throne	A prayer for England — nineteen 8-line stanzas (ababbcbc) with refrain, ‘Of alle oure synnys god make a delyueraunce’			prayers, for the nation; political poems; abuses of the age	— eight-line — ababbcbc	
DIMEV 3741	Now goeth falsehood in every flock	Verses claiming Truth is a Prisoner — a single quatrain			evils of the time	— four-line — aabb	
DIMEV 3742	Now goeth the sun under wood / Me rueth Mary thy fair rood	An English quatrain (aabb) occurring in Archb. Edmund Riche’s Speculum Ecclesie	 Speculum Ecclesie	Edmund Rich Archibishop of Canterbury	sermons, verse in; Virgin Mary, compassion of	— four-line — aabb	
DIMEV 3743	Now good sweet heart and mine own good mistress	To his mistress — one stanza rhyme royal	 Pastime of Pleasure	Stephen Hawes	lovers, addresses to beloved	— seven-line — ababbcc	Actually an extract from Hawes’ Pastime of Pleasure (4004), lines 2542-8 occurring separately; for a longer extract which includes this same stanza see 4017.
DIMEV 3744	Now gracious God grounded of all goodness	The Ludus Coventriae, or N-Town Plays — a Mystery Cycle of forty-two plays	 Ludus Coventriae; N-Town Plays		mystery plays		
DIMEV 3745	Now great glorious God through grace of himselven	Alliterative Morte Arthure — 4346 alliterative lines	 Alliterative Morte Arthure		Arthurian literature; romances	— alliterative, unrhymed	
DIMEV 3746	Now harken every man both more and less	St. Augustine on the Virtues of the Mass — fifteen couplets		Augustine of Hippo	mass, virtues of	— two-line — aa	For other versions, see 3813, 3244, 5397, 5651, 6817.
DIMEV 3747	Now has Mary born a flower	Song to the Virgin Mary — two fragmentary stanzas			Virgin Mary, songs in honour of; hymns, to Virgin Mary		
DIMEV 3748	Now hath ye heard both old and young	Prognostics from the day on which Christmas falls, with a 32-line prologue — in couplets.			prognostications; didactic verse	— two-line — aa	For other MSS without a prologue, see 3245; for others with a 16-line Prologue, see 3122.
DIMEV 3749	Now have I writ all	English couplet translating common Latin colophon: ‘Nunc scripsi totum pro christo da michi potum’			colophons	— two-line — aa	
